Local \ Visitante 	ALM 	ATH 	ATM 	OSA 	CAD 	ELC 	BAR 	GET 	GIR 	RAY 	BET 	CEL 	ESP 	RMA 	MLL 	RSO 	SEV 	VAL 	VLL 	VIL
Almería 	— 	1–2 	1–1 	0–1 	1–1 	2–1 	1–0 	1–0 	3–2 	3–1 	2–3 	3–1 	3–1 	1–2 	3–0 	0–2 	2–1 	2–1 	0–0 	0–2
Ath. Club 	4–0 	— 	0–1 	0–0 	4–1 	0–1 	0–1 	0–0 	2–3 	3–2 	0–1 	2–1 	0–1 	0–2 	0–0 	2–0 	0–1 	1–0 	3–0 	1–0
At. Madrid 	2–1 	1–0 	— 	3–0 	5–1 	2–0 	0–1 	1–1 	2–1 	1–1 	1–0 	4–1 	1–1 	1–2 	3–1 	2–1 	6–1 	3–0 	3–0 	0–2
Osasuna 	3–1 	2–0 	0–1 	— 	2–0 	2–1 	1–2 	0–2 	2–1 	2–1 	3–2 	0–0 	1–0 	0–2 	1–0 	0–2 	2–1 	1–2 	2–0 	0–3
Cádiz 	1–1 	0–4 	3–2 	0–1 	— 	1–1 	0–4 	2–2 	2–0 	1–0 	0–0 	1–0 	2–2 	0–2 	2–0 	0–1 	0–2 	2–1 	2–0 	0–0
Elche 	1–1 	1–4 	1–0 	1–1 	1–1 	— 	0–4 	0–1 	1–2 	4–0 	2–3 	0–1 	0–1 	0–3 	1–1 	0–1 	1–1 	0–2 	1–1 	3–1
Barcelona 	2–0 	4–0 	1–0 	1–0 	2–0 	3–0 	— 	1–0 	0–0 	0–0 	4–0 	1–0 	1–1 	2–1 	3–0 	1–2 	3–0 	1–0 	4–0 	3–0
Getafe 	1–2 	2–2 	0–3 	2–1 	0–0 	1–1 	0–0 	— 	3–2 	1–1 	0–1 	1–0 	1–2 	0–1 	2–0 	2–1 	2–0 	1–0 	2–3 	0–0
Girona 	6–2 	2–1 	0–1 	1–1 	1–1 	2–0 	0–1 	3–1 	— 	2–2 	1–2 	0–1 	2–1 	4–2 	2–1 	3–5 	2–1 	1–0 	2–1 	1–2
R. Vallecano 	2–0 	0–0 	1–2 	2–1 	5–1 	2–1 	2–1 	0–0 	2–2 	— 	1–2 	0–0 	1–2 	3–2 	0–2 	0–2 	1–1 	2–1 	2–1 	2–1
Real Betis 	3–1 	0–0 	1–2 	1–0 	0–2 	3–0 	1–2 	0–1 	2–1 	3–1 	— 	3–4 	3–1 	0–0 	1–0 	0–0 	1–1 	1–1 	2–1 	1–0
Celta 	2–2 	1–0 	0–1 	1–2 	3–0 	1–0 	2–1 	1–1 	1–1 	3–0 	1–0 	— 	2–2 	1–4 	0–1 	1–2 	1–1 	1–2 	3–0 	1–1
Espanyol 	3–3 	1–2 	3–3 	1–1 	0–0 	2–2 	2–4 	1–0 	2–2 	0–2 	1–0 	1–3 	— 	1–3 	2–1 	2–3 	2–3 	2–2 	1–0 	0–1
R. Madrid 	4–2 	1–1 	1–1 	1–1 	2–1 	4–0 	3–1 	1–0 	1–1 	2–1 	2–1 	2–0 	3–1 	— 	4–1 	0–0 	3–1 	2–0 	6–0 	2–3
Mallorca 	1–0 	1–1 	1–0 	0–0 	1–0 	0–1 	0–1 	3–1 	1–1 	3–0 	1–2 	1–0 	1–1 	1–0 	— 	1–1 	0–1 	1–0 	1–0 	4–2
R. Sociedad 	1–0 	3–1 	1–1 	2–0 	0–0 	2–0 	1–4 	2–0 	2–2 	2–1 	0–2 	1–1 	2–1 	2–0 	1–0 	— 	2–1 	1–1 	0–1 	1–0
Sevilla 	2–1 	1–1 	0–2 	2–3 	1–0 	3–0 	0–3 	2–1 	0–2 	0–1 	0–0 	2–2 	3–2 	1–2 	2–0 	1–2 	— 	1–1 	1–1 	2–1
Valencia 	2–2 	1–2 	0–1 	1–0 	0–1 	2–2 	0–1 	5–1 	1–0 	1–1 	3–0 	3–0 	2–2 	1–0 	1–2 	1–0 	0–2 	— 	2–1 	1–1
R. Valladolid 	1–0 	1–3 	2–5 	0–0 	0–1 	2–1 	3–1 	0–0 	1–0 	0–1 	0–0 	4–1 	2–1 	0–2 	3–3 	1–0 	0–3 	1–0 	— 	0–3
Villarreal 	2–1 	5–1 	2–2 	2–0 	2–0 	4–0 	0–1 	2–1 	1–0 	0–1 	1–1 	3–1 	4–2 	2–1 	0–2 	2–0 	1–1 	2–1 	1–2 	— 